Nazwa stacji,sz,dl
BABIMOST,56.8,43.2
BABIMOST,56.8,43.2
BALIGRÓD-MCHAWA,61.6,32.2
BARWINEK,64.6,45.6
BEŁCHATÓW,65.4,32.2
BEZEK,57.6,32.6
PODLASKA,53.2,26.0
BIAŁOGARD,54.0,50.4
BIAŁOWIEŻA,77.2,53.6
BIAŁYSTOK,56.6,28.4
BIEBRZA-PIEŃCZYKÓWEK,76.4,43.6
BIECZ-GRUDNA,75.4,30.0
PODLASKI,79.6,29.0
BIELSKO-BIAŁA,77.8,19.0
STARY,53.0,22.6
BIRCZA,73.6,39.4
BISKUPIEC,83.6,55.4
BOBROWNIKI,81.4,21.8
BOCHNIA,84.4,34.4
BODZENTYN,84.2,54.2
BOGATYNIA,82.4,49.4
BOGUSŁAWICE,80.6,36.0
BOLESŁAWÓW,59.0,47.8
BORUCINO,63.0,52.4
BORUSOWA,60.2,48.8
BRENNA,76.0,49.2
BRWINÓW,56.8,45.8
DOLNE,65.2,44.2
TATRZAŃSKA,61.6,24.2
BYDGOSZCZ,56.6,51.8
BYDGOSZCZ,59.0,19.8
BYDGOSZCZ-SZWEDEROWO,56.0,52.4
CEBER,76.8,74.4
CHMIELÓW,68.6,44.4
CHOJNICE,78.2,35.6
CHORZELÓW,62.6,37.2
CHRZĄSTOWO,59.6,38.0
CHWAŁKOWICE,66.6,37.6
CICIBÓR,55.0,27.2
CIECHOCINEK,83.8,46.8
CIESZANÓW,58.4,27.2
CIESZYN,76.0,40.8
DĄBRÓWKA,66.6,37.4
CZEKANÓW,62.6,44.4
CZESŁAWICE,62.4,31.6
CZĘSTOCHOWA,78.8,22.0
CZORSZTYN-NADZAMCZE,64.6,32.0
DARŁOWO,70.2,29.8
DĘBNO,65.8,27.8
DŁUGOPOLE-ZDRÓJ,59.0,38.8
DOBCZYCE,80.8,22.4
DOBROCIN,86.0,49.0
DOBROGOSZCZ,77.6,17.6
STAWÓW,56.8,21.8
DRONIOWICE,74.6,46.8
DUKLA,69.4,45.6
DUSZNIKI-ZDRÓJ,64.4,30.4
DYNÓW,79.0,30.4
DZIWNÓW,54.6,40.4
ELBLĄG-MILEJEWO,61.8,38.2
FELIN,59.4,44.8
FROMBORK,67.2,43.6
GDAŃSK-RĘBIECHOWO,67.8,34.8
GDAŃSK-RĘBIECHOWO,67.8,34.8
GDAŃSK-ŚWIBNO,66.0,51.6
GDYNIA,72.6,38.4
GIŻYCKO,55.2,49.8
GŁĘBOKIE,75.4,34.2
GŁODOWO,82.0,27.4
GŁUBCZYCE,56.6,45.8
GŁUCHOŁAZY,60.8,30.8
GNIEZNO,71.8,37.4
GOLENIÓW,74.0,45.8
GOŁDAP,65.4,33.4
WIELKOPOLSKI,78.4,24.6
GORZYŃ,72.4,47.4
GRABIK,74.4,19.2
GRABOWIEC,54.6,34.8
GRABOWNICA,67.8,33.2
GRABOWNICA,73.0,25.0
GRODKÓW,74.6,31.4
GRUDZIĄDZ,68.6,43.8
GUBAŁÓWKA,59.8,52.6
GĄSIENICOWA,57.4,20.0
ORNAK,57.4,50.2
HEL,75.6,46.8
HOPOWO,63.0,27.0
IGOŁOMIA,53.6,29.6
INWAŁD,80.8,34.6
ISTEBNA-KUBALONKA,70.6,50.4
IWONICZ-ZDRÓJ,69.4,49.2
JABŁONKA,65.8,44.2
JAKUSZYCE,79.4,31.2
JARCZEW,80.4,56.4
JAROCIN,70.4,32.8
JASTRZĘBIA,77.2,52.4
JASTRZĘBIE-ZDRÓJ,83.2,38.4
JELCZ-LASKOWICE,52.8,29.6
GÓRA,82.4,43.2
JĘDRZEJÓW-SUDÓŁ,73.4,29.6
JODŁOWNIK,77.2,29.0
KALISZ,78.6,20.4
KARPACZ,78.2,43.2
KARŻNICZKA,71.4,25.4
KASPARUS,79.4,30.6
WIERCH,56.8,53.8
PYRZOWICE,66.8,21.4
KATOWICE-MUCHOWIEC,58.4,19.6
KAWĘCZYN,58.0,32.6
KIELCE-SUKÓW,78.8,44.6
KŁODZKO,65.6,37.6
KMIECIN,60.6,25.0
KOCHCICE,75.8,42.6
KOLBUSZOWA,58.4,49.8
KOŁO,59.2,41.4
KOŁOBRZEG-DŹWIRZYNO,59.4,28.8
WIELKA,78.4,23.4
KOMAŃCZA,61.0,24.4
KOŃCZEWICE,59.6,37.8
KORFANTÓW,67.4,38.6
KOSZALIN,61.2,21.4
KOŚCIERZYNA,58.8,51.8
KÓRNIK,61.0,20.6
KRAKÓW-BALICE,52.4,47.8
KRAKÓW-OBSERWATORIUM,52.4,53.8
KRASNYSTAW,51.0,28.4
KROSNO,73.6,48.0
KROŚCIENKO,65.2,35.6
KRYNICA,64.0,54.8
PARKOWA,64.0,54.8
KRZYŻ,83.8,50.4
KRZYŻEWO,54.2,49.0
LALIKI,68.8,19.6
LĄDEK-ZDRÓJ,62.6,47.8
LEGIONOWO,66.4,54.8
LEGNICA,57.6,23.2
LESKO,65.2,34.0
LESKOWIEC,77.8,35.2
LESZNO,81.0,35.2
LEŻAJSK,59.0,37.0
LĘBORK,73.8,42.8
